,user,text,favorite_count,retweet_count,created_at
0,elonmusk,"@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich Although his methods of instruction very strongly favored stick over carrot, I did learn a tremendous amount of engineering from him &amp; appreciation of art (he is an extremely talented artist)",105,11,2022-09-21 15:09:59+00:00
1,elonmusk,"@enn_nafnlaus @TaraBull808 @treygahigh @theliamnissan @RBReich Boys High was a good school, but it was government, not private. Brooklyn would be considered a middle income, not exclusive, neighborhood in America.",164,9,2022-09-21 15:00:26+00:00
2,elonmusk,@enn_nafnlaus @TaraBull808 @treygahigh @theliamnissan @RBReich For sure,187,10,2022-09-21 14:55:11+00:00
3,elonmusk,"@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich Errol ran out of money in the 90’s. My brother &amp; I financially supported him &amp; his extended family in South Africa since then on condition that he not do bad things. Unfortunately, he did do bad things :(",438,36,2022-09-21 14:36:49+00:00
4,elonmusk,@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich This is true,344,20,2022-09-21 14:26:17+00:00
5,elonmusk,"@Teslarati @ResidentSponge With some improvements, it will achieve 300 Mps",3398,172,2022-09-21 14:02:11+00:00
6,elonmusk,"@enn_nafnlaus @TaraBull808 @treygahigh @theliamnissan @RBReich Incorrect. There was tuition for students from outside the school district, which was a small part of the student body, incl black students, but not for students in district, which I was.

Also, I was there for 2.5 years, previously attending govt schools for 9 of 12 years.",492,29,2022-09-21 13:55:04+00:00
7,elonmusk,"@enn_nafnlaus @treygahigh @TaraBull808 @theliamnissan @RBReich I went to government schools, not private, except for part of one year in third grade",1066,82,2022-09-21 12:56:02+00:00
8,elonmusk,"@NASASpaceflight @yasin_shafiei @thejackbeyer @BocaChicaGal @NicAnsuini Probably Q2 next year, with vehicles initially transferred by boat from Port of Brownsville to the Cape",2239,173,2022-09-21 12:48:03+00:00
9,elonmusk,@cb_doge @PPathole @RBReich 🤣,729,38,2022-09-21 12:45:47+00:00
10,elonmusk,@PPathole @RBReich https://t.co/82b0Msiktf,2108,110,2022-09-21 12:39:34+00:00
11,elonmusk,"@BnOrdhaug @yasin_shafiei @thejackbeyer @NASASpaceflight @BocaChicaGal @NicAnsuini That’s the plan. We’re taking a little  risk there, as engine isolation was done as retrofit, so not as good as on Booster 9.",1054,78,2022-09-21 12:34:25+00:00
12,elonmusk,"@yasin_shafiei @thejackbeyer @NASASpaceflight @BocaChicaGal @NicAnsuini Late next month maybe, but November seems highly likely. We will have two boosters &amp; ships ready for orbital flight by then, with full stack production at roughly one every two months.",2334,253,2022-09-21 12:30:46+00:00
13,elonmusk,"@thejackbeyer @NASASpaceflight @BocaChicaGal @NicAnsuini Our focus is on reliability upgrades for flight on Booster 7 and completing Booster 9, which has many design changes, especially for full engine RUD isolation.",3034,212,2022-09-21 12:22:06+00:00
14,elonmusk,@enn_nafnlaus @theliamnissan @RBReich Exactly,1509,82,2022-09-21 12:18:01+00:00
15,elonmusk,@teslaownersSV @chicago_glenn @Twitter Seems that way @Twitter @paraga,2013,130,2022-09-21 03:05:09+00:00
16,elonmusk,@chicago_glenn .@Twitter what’s going on?,1306,107,2022-09-21 02:58:45+00:00
17,elonmusk,@TrungTPhan @McDonalds Such miracles are impossible,5854,211,2022-09-21 02:57:41+00:00
18,elonmusk,@ruffpast @stevenmarkryan @SawyerMerritt @mayemusk @RBReich @PenguinBooks That’s a real picture?,1472,53,2022-09-21 02:50:11+00:00
